,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
0,Nhà,Cần bán,Đà Nẵng,Quận Thanh Khê,Phường Vĩnh Trung,"Đường Lê Duẩn, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng","2,2 tỷ",10/05/2021,47m²,,,2,,Đã có sổ,Đăng nhập để xem,
1,Nhà,Cần bán,Đà Nẵng,Quận Cẩm Lệ,Phường Hòa Thọ Tây,"29/xx, Đường Nguyễn Như Đãi, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng","1,45 tỷ",10/05/2021,90m²,Bắc,,3,1,Đã có sổ,Đăng nhập để xem,
2,Đất,Cần bán,Long An,Huyện Đức Hòa,Xã Mỹ Hạnh Nam,"Đường Nguyễn Văn Bứa, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",550 triệu,10/05/2021,90m²,,,,,Đã có sổ,Đăng nhập để xem,
3,Nhà,Cần bán,Hồ Chí Minh,Quận 6,Phường 4,"Đường Phạm Văn Chí, Phường 4, Quận 6, Tp Hồ Chí Minh","9,5 tỷ",10/05/2021,120m²,,,2,2,Đã có sổ,Đăng nhập để xem,
4,Đất,Cần bán,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tân Hải,"Đường Quốc Lộ 51, Xã Tân Hải, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu","2,2 tỷ",10/05/2021,186m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
5,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Định Công,"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội","4,2 tỷ",10/05/2021,60m²,,4,4,3,Đã có sổ,Đăng nhập để xem,
6,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 14,"Đường Đồng Đen, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","4,35 tỷ",10/05/2021,36m²,,,3,3,Đã có sổ,Đăng nhập để xem,
7,Đất,Cần bán,Thừa Thiên Huế,Huyện Quảng Điền,Xã Quảng Vinh,"Nguyễn Vịnh, Xã Quảng Vinh, Huyện Quảng Điền, Thừa Thiên Huế",480 triệu,10/05/2021,82m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
8,Nhà,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,"PHAN VĂN HỚN, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",790 triệu,10/05/2021,80m²,,,2,1,Đã có sổ,Đăng nhập để xem,
9,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 8,Phường 6,"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8 triệu/tháng,10/05/2021,85m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
10,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã Sông Thao,"Đường Sông Thao Bau Ham, Xã Sông Thao, Huyện Trảng Bom, Đồng Nai",132 triệu,10/05/2021,115m²,,,,,,Đăng nhập để xem,
11,Đất,Cần bán,Tây Ninh,Huyện Châu Thành,Xã Phước Vinh,"Đường 781, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh",580.000 đ,10/05/2021,1.000m²,Đông Bắc,,,,Đã có sổ,Đăng nhập để xem,
12,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 9,"Đường Số 9, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","4,7 tỷ",10/05/2021,56m²,Tây Bắc,1,3,3,Đã có sổ,Đăng nhập để xem,
13,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,"Phạm Văn Đồng, Phường Linh Tây, Quận Thủ Đức, Tp Hồ Chí Minh","1,55 tỷ",10/05/2021,59m²,Nam,,2,2,Đã có sổ,Đăng nhập để xem,
14,Nhà,Cần mua,Hồ Chí Minh,Quận 10,,,5 tỷ,10/05/2021,80m²,,,1,,,Đăng nhập để xem,
15,Đất,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Thống Nhất,"Đường N3, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai","1,55 tỷ",10/05/2021,84m²,,,,,Đã có sổ,Đăng nhập để xem,
16,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Bình Thuận,"528, 528 Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",10 triệu/tháng,10/05/2021,65m²,,,2,2,,Đăng nhập để xem,
17,Nhà,Cho thuê,Hồ Chí Minh,Quận 10,Phường 12,"391/7, sư vạn hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",23 triệu/tháng,10/05/2021,80m²,Bắc,2,2,2,Đã có sổ,Đăng nhập để xem,
18,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 13,"39A, Lê Tấn Quốc, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","16,5 triệu/tháng",10/05/2021,88m²,,,4,3,,Đăng nhập để xem,
19,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,"Đường Gò Dưa, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","9,9 tỷ",10/05/2021,87m²,,,,,Đã có sổ,Đăng nhập để xem,
20,Đất,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Quý Tây,"Đường 234, Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",16 tỷ,10/05/2021,1.600m²,,,,,Đã có sổ,Đăng nhập để xem,
21,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Phước Thạnh,"Đường 22, Xã Phước Thạnh, Huyện Củ Chi, Tp Hồ Chí Minh","2,9 tỷ",10/05/2021,200m²,,,,,Đã có sổ,Đăng nhập để xem,
22,Nhà,Cho thuê,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",13 triệu/tháng,10/05/2021,189m²,,1,2,1,Đã có sổ,Đăng nhập để xem,
23,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Ea Tu,"vành đai 14-26, Xã Ea Tu, Thành phố Buôn Ma Thuột, Đắk Lắk","1,55 tỷ",10/05/2021,422m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
24,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 13,"nguyễn xí, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","5,5 triệu/tháng",10/05/2021,30m²,,,1,1,,Đăng nhập để xem,
25,Nhà,Cho thuê,Bình Dương,Thị xã Dĩ An,Phường Tân Đông Hiệp,"Gần Bệnh viện Dĩ An, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",3 triệu/tháng,10/05/2021,45m²,,,2,2,,Đăng nhập để xem,
26,Nhà,Cần bán,Hà Nội,Quận Ba Đình,Phường Liễu Giai,"Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội","3,4 tỷ",10/05/2021,29m²,,,3,,,Đăng nhập để xem,
27,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 8,"Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh",13 triệu/tháng,10/05/2021,100m²,,,1,1,,Đăng nhập để xem,
28,"Căn hộ, Chung cư",Cho thuê,Bình Định,Thành phố Qui Nhơn,Phường Nguyễn Văn Cừ,"Đường Nguyễn Thái Học, Phường Nguyễn Văn Cừ, Thành phố Qui Nhơn, Bình Định",8 triệu/tháng,10/05/2021,65m²,,,2,2,Đã có sổ,Đăng nhập để xem,
29,Đất,Cần bán,Cần Thơ,Quận Cái Răng,Phường Phú Thứ,"Đường Võ Nguyên Giáp, Phường Phú Thứ, Quận Cái Răng, Cần Thơ","7,9 tỷ",10/05/2021,222m²,,,,,Đã có sổ,Đăng nhập để xem,
30,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Phú Nhuận,Phường 10,"Đường Lê Văn Sỹ, Phường 10, Quận Phú Nhuận, Tp Hồ Chí Minh",7 triệu/tháng,10/05/2021,45m²,,,1,1,Đã có sổ,Đăng nhập để xem,
31,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Bình Thuận,"142/38, Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",400 triệu/tháng,10/05/2021,80m²,,,,,Giấy tờ khác,Đăng nhập để xem,
32,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",15 triệu/tháng,10/05/2021,91m²,,,3,2,,Đăng nhập để xem,
33,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,"Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",12 triệu/tháng,10/05/2021,75m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
34,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,"Đường Đại Lộ Bình Dương, Phường Thuận Giao, Thành phố Thuận An, Bình Dương","1,8 tỷ",10/05/2021,52m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
35,Nhà,Cần bán,Hồ Chí Minh,Quận 1,Phường Bến Nghé,"63A, Đường Nam Kỳ Khởi Nghĩa, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","4,5 tỷ",10/05/2021,90m²,,,4,4,Đang chờ sổ,Đăng nhập để xem,
36,Nhà,Cho thuê,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,"Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh",8 triệu/tháng,10/05/2021,50m²,,,4,3,,Đăng nhập để xem,
37,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",12 triệu/tháng,10/05/2021,65m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
38,Đất,Cần bán,Bắc Ninh,Huyện Quế Võ,Xã Việt Hùng,"Đường Quốc lộ 18, Xã Việt Hùng, Huyện Quế Võ, Bắc Ninh",120 tỷ,10/05/2021,55.000m²,,,,,,Đăng nhập để xem,
39,Đất,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Thới Nhì,"Dương Công Khi, Xã Tân Thới Nhì, Huyện Hóc Môn, Tp Hồ Chí Minh",900 triệu,10/05/2021,120m²,,,,,Đã có sổ,Đăng nhập để xem,
40,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã An Viễn,"Đường Phùng Hưng, Xã An Viễn, Huyện Trảng Bom, Đồng Nai","1,8 tỷ",10/05/2021,100m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
41,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Xã Bình Sơn,"Đường ĐT 769, Xã Bình Sơn, Huyện Long Thành, Đồng Nai",670 triệu,10/05/2021,115m²,,,,,Đã có sổ,Đăng nhập để xem,
42,"Căn hộ, Chung cư",Cần thuê,Hồ Chí Minh,Quận 8,Phường 4,"Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",5 triệu/tháng,10/05/2021,60m²,,,2,,,Đăng nhập để xem,
43,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 8,Phường 16,"192, Đường Phạm Đức Sơn, Phường 16, Quận 8, Tp Hồ Chí Minh","1,55 tỷ",10/05/2021,51m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
44,Đất,Cần bán,Tây Ninh,Huyện Gò Dầu,Xã Phước Trạch,"Đường Quốc Lộ 22M, Xã Phước Trạch, Huyện Gò Dầu, Tây Ninh",355 triệu,10/05/2021,200m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
45,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 4,"Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",20 triệu/tháng,10/05/2021,198m²,Đông Nam,,7,3,Đã có sổ,Đăng nhập để xem,
46,Nhà,Cần mua,Hồ Chí Minh,Quận 6,,,"5,43 triệu",10/05/2021,88m²,,,4,,,Đăng nhập để xem,
47,Đất,Cần bán,Quảng Nam,Thành phố Tam Kỳ,Phường Hòa Hương,"Hương Trà Đông, Phường Hòa Hương, Thành phố Tam Kỳ, Quảng Nam","2,5 triệu",10/05/2021,100.000m²,,,,,Đã có sổ,Đăng nhập để xem,
48,"Căn hộ, Chung cư",Cần bán,Hải Phòng,Huyện An Dương,Xã An Đồng,"Đường Máng Nước, Xã An Đồng, Huyện An Dương, Hải Phòng",770 triệu,10/05/2021,63m²,Tây,,2,2,Đang chờ sổ,Đăng nhập để xem,
49,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Xã Tân Tiến,"Đường ĐT753, Xã Tân Tiến, Huyện Đồng Phú, Bình Phước","1,8 tỷ",10/05/2021,1.250m²,,,,,Đã có sổ,Đăng nhập để xem,
50,Nhà,Cần bán,Đà Nẵng,Quận Thanh Khê,Phường Vĩnh Trung,"Đường Lê Duẩn, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng","2,2 tỷ",10/05/2021,47m²,,,2,,Đã có sổ,Đăng nhập để xem,
51,Nhà,Cần bán,Đà Nẵng,Quận Cẩm Lệ,Phường Hòa Thọ Tây,"29/xx, Đường Nguyễn Như Đãi, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng","1,45 tỷ",10/05/2021,90m²,Bắc,,3,1,Đã có sổ,Đăng nhập để xem,
52,Đất,Cần bán,Long An,Huyện Đức Hòa,Xã Mỹ Hạnh Nam,"Đường Nguyễn Văn Bứa, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",550 triệu,10/05/2021,90m²,,,,,Đã có sổ,Đăng nhập để xem,
53,Nhà,Cần bán,Hồ Chí Minh,Quận 6,Phường 4,"Đường Phạm Văn Chí, Phường 4, Quận 6, Tp Hồ Chí Minh","9,5 tỷ",10/05/2021,120m²,,,2,2,Đã có sổ,Đăng nhập để xem,
54,Đất,Cần bán,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tân Hải,"Đường Quốc Lộ 51, Xã Tân Hải, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu","2,2 tỷ",10/05/2021,186m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
55,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Định Công,"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội","4,2 tỷ",10/05/2021,60m²,,4,4,3,Đã có sổ,Đăng nhập để xem,
56,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 14,"Đường Đồng Đen, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","4,35 tỷ",10/05/2021,36m²,,,3,3,Đã có sổ,Đăng nhập để xem,
57,Đất,Cần bán,Thừa Thiên Huế,Huyện Quảng Điền,Xã Quảng Vinh,"Nguyễn Vịnh, Xã Quảng Vinh, Huyện Quảng Điền, Thừa Thiên Huế",480 triệu,10/05/2021,82m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
58,Nhà,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,"PHAN VĂN HỚN, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",790 triệu,10/05/2021,80m²,,,2,1,Đã có sổ,Đăng nhập để xem,
59,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 8,Phường 6,"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8 triệu/tháng,10/05/2021,85m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
60,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã Sông Thao,"Đường Sông Thao Bau Ham, Xã Sông Thao, Huyện Trảng Bom, Đồng Nai",132 triệu,10/05/2021,115m²,,,,,,Đăng nhập để xem,
61,Đất,Cần bán,Tây Ninh,Huyện Châu Thành,Xã Phước Vinh,"Đường 781, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh",580.000 đ,10/05/2021,1.000m²,Đông Bắc,,,,Đã có sổ,Đăng nhập để xem,
62,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 9,"Đường Số 9, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","4,7 tỷ",10/05/2021,56m²,Tây Bắc,1,3,3,Đã có sổ,Đăng nhập để xem,
63,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,"Phạm Văn Đồng, Phường Linh Tây, Quận Thủ Đức, Tp Hồ Chí Minh","1,55 tỷ",10/05/2021,59m²,Nam,,2,2,Đã có sổ,Đăng nhập để xem,
64,Nhà,Cần mua,Hồ Chí Minh,Quận 10,,,5 tỷ,10/05/2021,80m²,,,1,,,Đăng nhập để xem,
65,Đất,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Thống Nhất,"Đường N3, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai","1,55 tỷ",10/05/2021,84m²,,,,,Đã có sổ,Đăng nhập để xem,
66,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Bình Thuận,"528, 528 Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",10 triệu/tháng,10/05/2021,65m²,,,2,2,,Đăng nhập để xem,
67,Nhà,Cho thuê,Hồ Chí Minh,Quận 10,Phường 12,"391/7, sư vạn hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",23 triệu/tháng,10/05/2021,80m²,Bắc,2,2,2,Đã có sổ,Đăng nhập để xem,
68,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 13,"39A, Lê Tấn Quốc, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","16,5 triệu/tháng",10/05/2021,88m²,,,4,3,,Đăng nhập để xem,
69,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,"Đường Gò Dưa, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","9,9 tỷ",10/05/2021,87m²,,,,,Đã có sổ,Đăng nhập để xem,
70,Đất,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Quý Tây,"Đường 234, Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",16 tỷ,10/05/2021,1.600m²,,,,,Đã có sổ,Đăng nhập để xem,
71,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Phước Thạnh,"Đường 22, Xã Phước Thạnh, Huyện Củ Chi, Tp Hồ Chí Minh","2,9 tỷ",10/05/2021,200m²,,,,,Đã có sổ,Đăng nhập để xem,
72,Nhà,Cho thuê,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",13 triệu/tháng,10/05/2021,189m²,,1,2,1,Đã có sổ,Đăng nhập để xem,
73,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Ea Tu,"vành đai 14-26, Xã Ea Tu, Thành phố Buôn Ma Thuột, Đắk Lắk","1,55 tỷ",10/05/2021,422m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
74,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 13,"nguyễn xí, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","5,5 triệu/tháng",10/05/2021,30m²,,,1,1,,Đăng nhập để xem,
75,Nhà,Cho thuê,Bình Dương,Thị xã Dĩ An,Phường Tân Đông Hiệp,"Gần Bệnh viện Dĩ An, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",3 triệu/tháng,10/05/2021,45m²,,,2,2,,Đăng nhập để xem,
76,Nhà,Cần bán,Hà Nội,Quận Ba Đình,Phường Liễu Giai,"Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội","3,4 tỷ",10/05/2021,29m²,,,3,,,Đăng nhập để xem,
77,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 8,"Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh",13 triệu/tháng,10/05/2021,100m²,,,1,1,,Đăng nhập để xem,
78,"Căn hộ, Chung cư",Cho thuê,Bình Định,Thành phố Qui Nhơn,Phường Nguyễn Văn Cừ,"Đường Nguyễn Thái Học, Phường Nguyễn Văn Cừ, Thành phố Qui Nhơn, Bình Định",8 triệu/tháng,10/05/2021,65m²,,,2,2,Đã có sổ,Đăng nhập để xem,
79,Đất,Cần bán,Cần Thơ,Quận Cái Răng,Phường Phú Thứ,"Đường Võ Nguyên Giáp, Phường Phú Thứ, Quận Cái Răng, Cần Thơ","7,9 tỷ",10/05/2021,222m²,,,,,Đã có sổ,Đăng nhập để xem,
80,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Phú Nhuận,Phường 10,"Đường Lê Văn Sỹ, Phường 10, Quận Phú Nhuận, Tp Hồ Chí Minh",7 triệu/tháng,10/05/2021,45m²,,,1,1,Đã có sổ,Đăng nhập để xem,
81,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Bình Thuận,"142/38, Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",400 triệu/tháng,10/05/2021,80m²,,,,,Giấy tờ khác,Đăng nhập để xem,
82,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",15 triệu/tháng,10/05/2021,91m²,,,3,2,,Đăng nhập để xem,
