,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
83,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,"Đường Vườn Lài, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",12 triệu/tháng,10/05/2021,75m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
84,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,"Đường Đại Lộ Bình Dương, Phường Thuận Giao, Thành phố Thuận An, Bình Dương","1,8 tỷ",10/05/2021,52m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
85,Nhà,Cần bán,Hồ Chí Minh,Quận 1,Phường Bến Nghé,"63A, Đường Nam Kỳ Khởi Nghĩa, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","4,5 tỷ",10/05/2021,90m²,,,4,4,Đang chờ sổ,Đăng nhập để xem,
86,Nhà,Cho thuê,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,"Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh",8 triệu/tháng,10/05/2021,50m²,,,4,3,,Đăng nhập để xem,
87,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",12 triệu/tháng,10/05/2021,65m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
88,Đất,Cần bán,Bắc Ninh,Huyện Quế Võ,Xã Việt Hùng,"Đường Quốc lộ 18, Xã Việt Hùng, Huyện Quế Võ, Bắc Ninh",120 tỷ,10/05/2021,55.000m²,,,,,,Đăng nhập để xem,
89,Đất,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Thới Nhì,"Dương Công Khi, Xã Tân Thới Nhì, Huyện Hóc Môn, Tp Hồ Chí Minh",900 triệu,10/05/2021,120m²,,,,,Đã có sổ,Đăng nhập để xem,
90,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã An Viễn,"Đường Phùng Hưng, Xã An Viễn, Huyện Trảng Bom, Đồng Nai","1,8 tỷ",10/05/2021,100m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
91,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Xã Bình Sơn,"Đường ĐT 769, Xã Bình Sơn, Huyện Long Thành, Đồng Nai",670 triệu,10/05/2021,115m²,,,,,Đã có sổ,Đăng nhập để xem,
92,"Căn hộ, Chung cư",Cần thuê,Hồ Chí Minh,Quận 8,Phường 4,"Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",5 triệu/tháng,10/05/2021,60m²,,,2,,,Đăng nhập để xem,
93,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 8,Phường 16,"192, Đường Phạm Đức Sơn, Phường 16, Quận 8, Tp Hồ Chí Minh","1,55 tỷ",10/05/2021,51m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
94,Đất,Cần bán,Tây Ninh,Huyện Gò Dầu,Xã Phước Trạch,"Đường Quốc Lộ 22M, Xã Phước Trạch, Huyện Gò Dầu, Tây Ninh",355 triệu,10/05/2021,200m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
95,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 4,"Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",20 triệu/tháng,10/05/2021,198m²,Đông Nam,,7,3,Đã có sổ,Đăng nhập để xem,
96,Nhà,Cần mua,Hồ Chí Minh,Quận 6,,,"5,43 triệu",10/05/2021,88m²,,,4,,,Đăng nhập để xem,
97,Đất,Cần bán,Quảng Nam,Thành phố Tam Kỳ,Phường Hòa Hương,"Hương Trà Đông, Phường Hòa Hương, Thành phố Tam Kỳ, Quảng Nam","2,5 triệu",10/05/2021,100.000m²,,,,,Đã có sổ,Đăng nhập để xem,
98,"Căn hộ, Chung cư",Cần bán,Hải Phòng,Huyện An Dương,Xã An Đồng,"Đường Máng Nước, Xã An Đồng, Huyện An Dương, Hải Phòng",770 triệu,10/05/2021,63m²,Tây,,2,2,Đang chờ sổ,Đăng nhập để xem,
99,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Xã Tân Tiến,"Đường ĐT753, Xã Tân Tiến, Huyện Đồng Phú, Bình Phước","1,8 tỷ",10/05/2021,1.250m²,,,,,Đã có sổ,Đăng nhập để xem,
100,Đất,Cần bán,Hà Nội,Quận Hà Đông,Phường Yên Nghĩa,"Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","4,25 tỷ",10/05/2021,53m²,,,,,Đã có sổ,Đăng nhập để xem,
101,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 26,"xô viết nghệ tĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",10 triệu/tháng,10/05/2021,40m²,,,4,3,,Đăng nhập để xem,
102,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 8,Phường 6,"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",10 triệu/tháng,10/05/2021,68m²,,,2,2,Đã có sổ,Đăng nhập để xem,
103,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thuận An,Phường Lái Thiêu,"Đường Quốc Lộ 13, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương","2,2 tỷ",10/05/2021,86m²,Tây,,3,2,Đang chờ sổ,Đăng nhập để xem,
104,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Trường Thọ,"Đường số 1, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","2,8 tỷ",10/05/2021,67m²,,,2,2,,Đăng nhập để xem,
105,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,"ĐẤT MỚI, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","3,4 tỷ",10/05/2021,67m²,,,2,2,,Đăng nhập để xem,
106,Đất,Cần bán,Long An,Huyện Đức Hòa,Xã Tân Mỹ,"Tĩnh Lộ 7, Xã Tân Mỹ, Huyện Đức Hòa, Long An",600 triệu,10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
107,Đất,Cần bán,Bình Thuận,Huyện Bắc Bình,Thị trấn Chợ Lầu,"Đường liên xã, Thị trấn Chợ Lầu, Huyện Bắc Bình, Bình Thuận",557 triệu,10/05/2021,4.648m²,,,,,Đã có sổ,Đăng nhập để xem,
108,Đất,Cần bán,Cần Thơ,Quận Cái Răng,Phường Phú Thứ,"Nam Sông Hậu, Phường Phú Thứ, Quận Cái Răng, Cần Thơ",705 triệu,10/05/2021,80m²,,,,,Đã có sổ,Đăng nhập để xem,
109,Đất,Cần bán,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Phường Hắc Dịch,"đường 13, Phường Hắc Dịch, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu","1,69 tỷ",10/05/2021,400m²,,,,,Đã có sổ,Đăng nhập để xem,
110,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 8,Phường 6,"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","2,35 tỷ",10/05/2021,60m²,,,2,,,Đăng nhập để xem,
111,Nhà,Cần bán,Vĩnh Long,Huyện Long Hồ,Xã Lộc Hòa,"Trạm cân Lộc Hoà, Đường Quốc lộ 1A, Xã Lộc Hòa, Huyện Long Hồ, Vĩnh Long","1,1 tỷ",10/05/2021,100m²,,,2,1,,Đăng nhập để xem,
112,Nhà,Cần bán,Hồ Chí Minh,Quận 6,Phường 10,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh",13 tỷ,10/05/2021,108m²,Nam,,2,1,Đã có sổ,Đăng nhập để xem,
113,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","1,99 tỷ",10/05/2021,59m²,,,2,1,,Đăng nhập để xem,
114,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Thị trấn Tân Phú,"Đường Nguyễn Văn Linh||16742, Thị trấn Tân Phú, Huyện Đồng Phú, Bình Phước",1 tỷ,10/05/2021,175m²,,,,,,Đăng nhập để xem,
115,Nhà,Cho thuê,Hồ Chí Minh,Huyện Củ Chi,Xã Phú Hòa Đông,"Đường Tỉnh lộ 15, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh",9 triệu/tháng,10/05/2021,320m²,Tây,,2,2,Đã có sổ,Đăng nhập để xem,
116,Đất,Cần bán,Đồng Nai,Huyện Xuân Lộc,Xã Bảo Hoà,"Đường Quốc lộ 1A, Xã Bảo Hoà, Huyện Xuân Lộc, Đồng Nai","1,68 tỷ",10/05/2021,2.723m²,,,,,Đã có sổ,Đăng nhập để xem,
117,Đất,Cần bán,Đồng Nai,Huyện Vĩnh Cửu,Xã Vĩnh Tân,"Thửa đất 346, Tờ bản đồ số 32, Khu Du Lịch Cao Minh, Xã Vĩnh Tân, Huyện Vĩnh Cửu, Đồng Nai",180 triệu,10/05/2021,105m²,,,,,Đã có sổ,Đăng nhập để xem,
118,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 8,"Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","6,25 tỷ",10/05/2021,50m²,,4,3,4,Đã có sổ,Đăng nhập để xem,
119,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 22,"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",23 triệu/tháng,10/05/2021,115m²,Đông Bắc,,3,2,Đã có sổ,Đăng nhập để xem,
120,Đất,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,"Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","7,2 tỷ",10/05/2021,450m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
121,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"1, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","7,6 tỷ",10/05/2021,55m²,,5,5,5,Đã có sổ,Đăng nhập để xem,
122,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 1,Phường Tân Định,"214, Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",17 triệu/tháng,10/05/2021,105m²,,,2,2,Đã có sổ,Đăng nhập để xem,
123,Đất,Cần bán,Đà Nẵng,Quận Liên Chiểu,Phường Hòa Khánh Bắc,"Đường Bàu Mạc 8, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","2,95 tỷ",10/05/2021,110m²,Tây Bắc,,,,,Đăng nhập để xem,
124,Nhà,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Thắng Lợi,"Đường Trần Hữu Trang, Phường Thắng Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",7 tỷ,10/05/2021,75m²,Đông Bắc,,3,4,,Đăng nhập để xem,
125,"Căn hộ, Chung cư",Cần bán,Hà Nội,Huyện Gia Lâm,Thị trấn Trâu Quỳ,"Đường Quốc Lộ 5, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội","1,84 tỷ",10/05/2021,70m²,Đông Bắc,,2,2,Đã có sổ,Đăng nhập để xem,
126,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 4,"Đường Út Tịch, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",24 triệu/tháng,10/05/2021,56m²,,,3,3,,Đăng nhập để xem,
127,Đất,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,"Đường 13B, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","9,5 tỷ",10/05/2021,100m²,Bắc,,,,,Đăng nhập để xem,
128,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 13,"Đường Đồng Xoài, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","10,6 tỷ",10/05/2021,109m²,Đông Nam,2,4,5,Đã có sổ,Đăng nhập để xem,
129,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 2,Phường An Phú,"KĐT City Horse Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh",9 triệu/tháng,10/05/2021,50m²,,,1,1,,Đăng nhập để xem,
130,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 2,Phường An Phú,"Số 628, Số 628 Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Tp Hồ Chí Minh",20 triệu/tháng,10/05/2021,101m²,,,2,2,,Đăng nhập để xem,
131,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường An Phú,"Số 628, Số 628 Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Tp Hồ Chí Minh","5,2 tỷ",10/05/2021,108m²,,,2,2,,Đăng nhập để xem,
132,Đất,Cần bán,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Sông Xoài,"cầu ri, Xã Sông Xoài, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu","1,18 tỷ",10/05/2021,160m²,,,,,Đã có sổ,Đăng nhập để xem,
133,Nhà,Cho thuê,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,"Đường Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh","1,2 tỷ/tháng",10/05/2021,54m²,,,2,2,Đã có sổ,Đăng nhập để xem,
134,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","1,71 tỷ",10/05/2021,47m²,,,2,1,,Đăng nhập để xem,
135,Nhà,Cho thuê,Đà Nẵng,Quận Hải Châu,Phường Thạch Thang,"Đường Lý Thường Kiệt, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",8 triệu/tháng,10/05/2021,120m²,,,1,1,Đã có sổ,Đăng nhập để xem,
136,Nhà,Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Phong,"Đường Lê Văn Lương, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",25 triệu/tháng,10/05/2021,80m²,,,1,1,Đã có sổ,Đăng nhập để xem,
137,Đất,Cần bán,Lâm Đồng,Thành phố Bảo Lộc,Phường Lộc Sơn,"Đường Quốc Lộ 20, Phường Lộc Sơn, Thành phố Bảo Lộc, Lâm Đồng",800 triệu,10/05/2021,240m²,,,,,Đã có sổ,Đăng nhập để xem,
138,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Xuân,"Đuong 11, Phường Linh Xuân, Quận Thủ Đức, Tp Hồ Chí Minh",790 triệu,10/05/2021,22m²,,,1,1,Giấy tờ khác,Đăng nhập để xem,
139,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Trường Thọ,"Đường Số 2, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","1,6 tỷ",10/05/2021,60m²,,,2,2,,Đăng nhập để xem,
140,Đất,Cần bán,Bình Dương,Thị xã Dĩ An,Phường Tân Đông Hiệp,"Đường Lê Hồng Phong, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương","2,5 tỷ",10/05/2021,104m²,Đông Bắc,,,,Đã có sổ,Đăng nhập để xem,
141,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 10,Phường 14,"Đường Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh",8 triệu/tháng,10/05/2021,120m²,Tây,,1,1,Đã có sổ,Đăng nhập để xem,
142,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Tân Phú,"Đường Cầu Xây, Phường Tân Phú, Quận 9, Tp Hồ Chí Minh","4,3 tỷ",10/05/2021,93m²,,,5,2,Đã có sổ,Đăng nhập để xem,
143,Nhà,Cho thuê,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"1237, Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",20 triệu/tháng,10/05/2021,150m²,Tây,,2,1,Đã có sổ,Đăng nhập để xem,
144,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,"Tx49, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","3,05 tỷ",10/05/2021,49m²,,,3,3,,Đăng nhập để xem,
145,Đất,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,"TX 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","3,15 tỷ",10/05/2021,85m²,,,,,,Đăng nhập để xem,
146,Nhà,Cần bán,Hồ Chí Minh,Quận 10,Phường 15,"Đường Tô Hiến Thành, Phường 15, Quận 10, Tp Hồ Chí Minh","13,8 tỷ",10/05/2021,80m²,,,4,6,Đã có sổ,Đăng nhập để xem,
147,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,"02-04, Đường Số 19, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",50 triệu/tháng,10/05/2021,180m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
148,Đất,Cần bán,Cần Thơ,Huyện Vĩnh Thạnh,Xã Vĩnh Bình,"225, Đường Quốc lộ 80 Vào  Khoản  Km, Xã Vĩnh Bình, Huyện Vĩnh Thạnh, Cần Thơ",980 triệu,10/05/2021,1.458m²,,,,,Đã có sổ,Đăng nhập để xem,
149,Nhà,Cho thuê,Hồ Chí Minh,Quận 10,Phường 12,"Đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh",21 tỷ/tháng,10/05/2021,108m²,,3,5,4,Đã có sổ,Đăng nhập để xem,
150,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 3,Phường 5,"Đường Cao Thắng, Phường 5, Quận 3, Tp Hồ Chí Minh","6,5 triệu/tháng",10/05/2021,40m²,,,1,1,,Đăng nhập để xem,
151,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 9,Phường Tân Phú,"Đường 154, Phường Tân Phú, Quận 9, Tp Hồ Chí Minh","4,5 triệu/tháng",10/05/2021,62m²,,,2,1,Đang chờ sổ,Đăng nhập để xem,
152,Đất,Cần bán,Tiền Giang,Huyện Châu Thành,Xã Tam Hiệp,"Cao Tốc 01, Xã Tam Hiệp, Huyện Châu Thành, Tiền Giang",600 triệu,10/05/2021,1.000m²,,,,,Đã có sổ,Đăng nhập để xem,
153,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,"Đường Thạnh Lộc 40, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",660 triệu,10/05/2021,15m²,,2,1,1,Giấy tờ khác,Đăng nhập để xem,
154,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 22,"Đường Quốc Lộ 13, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","6,5 triệu/tháng",10/05/2021,30m²,,,1,1,Đã có sổ,Đăng nhập để xem,
155,"Căn hộ, Chung cư",Cần bán,Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","3,5 tỷ",10/05/2021,120m²,,,3,,,Đăng nhập để xem,
156,Đất,Cần bán,Lâm Đồng,Huyện Đức Trọng,Xã Tân Thành,"Sau ubnd xã Tân Thành, Đường Nguyễn Văn Siêu, Xã Tân Thành, Huyện Đức Trọng, Lâm Đồng",550 triệu,10/05/2021,1.316m²,,,,,Đã có sổ,Đăng nhập để xem,
157,"Căn hộ, Chung cư",Cho thuê,Đà Nẵng,Quận Hải Châu,Phường Phước Ninh,"Đường Phan Châu Trinh, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",5 triệu/tháng,10/05/2021,40m²,,,1,,,Đăng nhập để xem,
158,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 3,"37, Đường Lê Lai, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",10 triệu/tháng,10/05/2021,44m²,,,2,2,,Đăng nhập để xem,
159,Đất,Cần bán,Bình Dương,Thị xã Dĩ An,Phường Tân Đông Hiệp,"Đường Nguyễn Thị Chạy, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",850 triệu,10/05/2021,80m²,,,,,Đã có sổ,Đăng nhập để xem,
160,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Xã Long Đức,"Đường quốc lộ 51 xã Long Đức, huyện Long Thành, tỉnh Đồng Nai., Xã Long Đức, Huyện Long Thành, Đồng Nai","2,3 tỷ",10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
161,Đất,Cần bán,Tây Ninh,Huyện Gò Dầu,Xã Phước Đông,"Đường 782, Xã Phước Đông, Huyện Gò Dầu, Tây Ninh","1,25 tỷ",10/05/2021,133m²,,,,,Đã có sổ,Đăng nhập để xem,
162,Đất,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc A,"B5/17, Đường Ấp 2, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh","378,8 triệu",10/05/2021,50m²,Tây Nam,,,,Giấy tờ khác,Đăng nhập để xem,
163,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","1,17 tỷ",10/05/2021,100m²,,2,2,2,Đã có sổ,Đăng nhập để xem,
164,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 3,"4A, Đường Đồng Xoài, Phường 3, Quận Tân Bình, Tp Hồ Chí Minh",8 triệu,10/05/2021,4m²,Đông,,2,2,Đã có sổ,Đăng nhập để xem,
165,Nhà,Cần bán,Sóc Trăng,Thành phố Sóc Trăng,Phường 4,"5A Đường Mạc Đĩnh Chi, Phường 4, thành phố Sóc Trăng, Sóc Trăng","3,74 tỷ",10/05/2021,110m²,Tây Bắc,,4,5,Đã có sổ,Đăng nhập để xem,
