,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
415,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,"Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","1,5 tỷ",10/05/2021,64m²,Đông,,2,3,Đã có sổ,Đăng nhập để xem,
416,Nhà,Cần bán,Đà Nẵng,Quận Thanh Khê,Phường Hòa Khê,"249/12, Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","2,9 tỷ",10/05/2021,43m²,Đông Nam,,4,3,Đã có sổ,Đăng nhập để xem,
417,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Cư ÊBur,"Đường Liên Thôn 8, Xã Cư ÊBur, Thành phố Buôn Ma Thuột, Đắk Lắk",368 triệu,10/05/2021,150m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
418,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,"Đường Xa lộ Đại Hàn, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","1,47 tỷ",10/05/2021,50m²,,,2,2,Đã có sổ,Đăng nhập để xem,
419,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Phú Hữu,"Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",799 triệu,10/05/2021,50m²,,,,,Đã có sổ,Đăng nhập để xem,
420,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long B,"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh",850 triệu,10/05/2021,50m²,,,,,Đã có sổ,Đăng nhập để xem,
421,Nhà,Cho thuê,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Trung,"Đường Lê Văn Chí, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh",30 triệu/tháng,10/05/2021,60m²,,,4,4,Đã có sổ,Đăng nhập để xem,
422,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,"243, Đường Mã Lò, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","2,45 tỷ",10/05/2021,42m²,Đông,1,1,1,Đã có sổ,Đăng nhập để xem,
423,Nhà,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 4,"Đường Thích Quảng Đức, Phường 4, Quận Phú Nhuận, Tp Hồ Chí Minh","15,5 tỷ",10/05/2021,62m²,,,5,4,Đã có sổ,Đăng nhập để xem,
424,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Trung,"35, Đường Lê Văn Chí, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh",10 triệu/tháng,10/05/2021,125m²,,,3,3,Đang chờ sổ,Đăng nhập để xem,
425,Nhà,Cần bán,Bình Dương,Thị xã Tân Uyên,Xã Vĩnh Tân,"10, Đường DT 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương","2,164 tỷ",10/05/2021,114m²,,,4,3,Đã có sổ,Đăng nhập để xem,
426,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,"Đường 4, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","5,1 tỷ",10/05/2021,56m²,Đông,,4,2,Đã có sổ,Đăng nhập để xem,
427,Nhà,Cần bán,Hồ Chí Minh,Quận 2,Phường Thảo Điền,"nguyen van hương, Phường Thảo Điền, Quận 2, Tp Hồ Chí Minh","2,9 tỷ",10/05/2021,72m²,Đông Nam,,3,3,Đã có sổ,Đăng nhập để xem,
428,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thuận An,Phường An Phú,"Đường ĐT 743, Phường An Phú, Thành phố Thuận An, Bình Dương",300 triệu,10/05/2021,60m²,,,2,2,,Đăng nhập để xem,
429,Nhà,Cần bán,Hồ Chí Minh,Quận 5,Phường 4,"Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","1,39 tỷ",10/05/2021,48m²,,,3,3,Đã có sổ,Đăng nhập để xem,
430,Nhà,Cần bán,Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",5 tỷ,10/05/2021,40m²,,5,9,,Đã có sổ,Đăng nhập để xem,
431,Nhà,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,"Đường Lê Văn Lương, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","1,57 tỷ",10/05/2021,38m²,,,2,2,Đã có sổ,Đăng nhập để xem,
432,Nhà,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","3,65 tỷ",10/05/2021,56m²,,,3,3,Đã có sổ,Đăng nhập để xem,
433,Đất,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Thới Tam Thôn,"Ấp Đông - To Ký, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","8,5 tỷ",10/05/2021,151m²,,,,,Đã có sổ,Đăng nhập để xem,
434,Đất,Cần bán,Đồng Nai,Huyện Định Quán,Xã Phú Ngọc,"Đường Quốc Lộ 20, Xã Phú Ngọc, Huyện Định Quán, Đồng Nai",550 triệu,10/05/2021,1.000m²,,,,,Đã có sổ,Đăng nhập để xem,
435,Đất,Cần bán,Bến Tre,Thành phố Bến Tre,Xã Phú Nhuận,"Đường 19/5, Xã Phú Nhuận, Thành phố Bến Tre, Bến Tre",550 triệu,10/05/2021,150m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
436,Đất,Cần bán,Vĩnh Phúc,Huyện Tam Dương,Xã Kim Long,"ĐT309B, Xã Kim Long, Huyện Tam Dương, Vĩnh Phúc","3,2 tỷ",10/05/2021,500m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
437,Đất,Cần bán,Bình Phước,Huyện Hớn Quản,Xã An Khương,"An khương, Xã An Khương, Huyện Hớn Quản, Bình Phước",850.000 đ,10/05/2021,1.079m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
438,Đất,Cần bán,Bình Phước,Huyện Lộc Ninh,Xã Lộc Thành,"Tà tê, Xã Lộc Thành, Huyện Lộc Ninh, Bình Phước",280 triệu,10/05/2021,1.020m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
439,Nhà,Cần bán,Hà Nội,Quận Hà Đông,Phường Đồng Mai,"Quốc lộ 6, Phường Đồng Mai, Quận Hà Đông, Hà Nội","1,75 tỷ",10/05/2021,58m²,Tây,3,4,3,Đã có sổ,Đăng nhập để xem,
440,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 8,"26/15/, Đường Số 19, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","3,55 tỷ",10/05/2021,30m²,,1,2,2,Đã có sổ,Đăng nhập để xem,
441,Nhà,Cần bán,Hà Nội,Quận Hà Đông,Phường Phú Lãm,"Đường Ba La, Phường Phú Lãm, Quận Hà Đông, Hà Nội","5,2 tỷ",10/05/2021,58m²,Đông,,4,4,,Đăng nhập để xem,
442,Nhà,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Ea Tam,"0391, Đường Săm Brăm, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk","2,545 tỷ",10/05/2021,110m²,Đông,,7,,,Đăng nhập để xem,
443,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Ea Kao,"thôn 3, Xã Ea Kao, Thành phố Buôn Ma Thuột, Đắk Lắk",750 triệu,10/05/2021,3.320m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
444,Đất,Cần bán,Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Tân Lâm,"Đường Tỉnh lộ 328, Xã Tân Lâm, Huyện Xuyên Mộc, Bà Rịa - Vũng Tàu",650 triệu,10/05/2021,2.600m²,Đông Bắc,,,,Đã có sổ,Đăng nhập để xem,
445,Nhà,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình An,"Đường Trần Não, Phường Bình An, Quận 2, Tp Hồ Chí Minh","2,2 tỷ",10/05/2021,72m²,Đông Nam,,3,3,Đã có sổ,Đăng nhập để xem,
446,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 1,"Đường Phạm Văn Đồng, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",17 tỷ,10/05/2021,300m²,,,3,3,,Đăng nhập để xem,
447,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Chánh,"D07, Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",979 triệu,10/05/2021,35m²,,1,2,2,Đã có sổ,Đăng nhập để xem,
448,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Tương Mai,"Đường Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","3,68 tỷ",10/05/2021,69m²,,,3,2,,Đăng nhập để xem,
449,Nhà,Cần bán,Long An,Huyện Cần Đước,Thị trấn Cần Đước,"Đường Quốc Lộ 50, Thị trấn Cần Đước, Huyện Cần Đước, Long An","1,74 tỷ",10/05/2021,133m²,Nam,,2,1,Đã có sổ,Đăng nhập để xem,
450,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Long Trường,"Đường 1, Phường Long Trường, Quận 9, Tp Hồ Chí Minh","4,1 tỷ",10/05/2021,89m²,Tây,,4,3,Đã có sổ,Đăng nhập để xem,
451,Nhà,Cần bán,Bình Dương,Thị xã Tân Uyên,Phường Uyên Hưng,"Đường ĐT 747A, Phường Uyên Hưng, Thị xã Tân Uyên, Bình Dương",240 triệu,10/05/2021,100m²,Đông Nam,,3,2,Đã có sổ,Đăng nhập để xem,
452,Đất,Cần bán,Bình Phước,Thành phố Đồng Xoài,Xã Tiến Hưng,"Đường D11, Xã Tiến Hưng, Thành phố Đồng Xoài, Bình Phước",850 triệu,10/05/2021,150m²,,,,,Đã có sổ,Đăng nhập để xem,
453,Đất,Cần bán,Bình Định,Thị xã An Nhơn,Phường Bình Định,"Lê Hồng Phong, Phường Bình Định, Thị xã An Nhơn, Bình Định","1,67 tỷ",10/05/2021,100m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
454,Đất,Cần bán,Hà Nội,Quận Long Biên,Phường Phúc Đồng,"Số 192 Dãy C11 Khu Dân Cư 918, Đường Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội","3,4 tỷ",10/05/2021,38m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
455,Đất,Cần bán,Tây Ninh,Huyện Gò Dầu,Xã Phước Đông,"Đường Hương lộ 1, Xã Phước Đông, Huyện Gò Dầu, Tây Ninh","4,95 tỷ",10/05/2021,702m²,,,,,Đã có sổ,Đăng nhập để xem,
456,Nhà,Cần bán,Hà Nội,Quận Cầu Giấy,Phường Trung Hoà,"Đường Nguyễn Ngọc Vũ, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","8,5 tỷ",10/05/2021,45m²,,6,4,3,Đã có sổ,Đăng nhập để xem,
457,Đất,Cần bán,Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Bông Trang,"Đường 55, Xã Bông Trang, Huyện Xuyên Mộc, Bà Rịa - Vũng Tàu",110 triệu,10/05/2021,901m²,Bắc,,,,Đã có sổ,Đăng nhập để xem,
458,Đất,Cần bán,Vĩnh Long,Thành phố Vĩnh Long,Phường 8,"144/ 130 D, Đường Đinh Tiên Hoàng, Phường 8, Thành phố Vĩnh Long, Vĩnh Long",980 triệu,10/05/2021,2.732m²,,,,,Đã có sổ,Đăng nhập để xem,
459,Đất,Cần bán,Bình Định,Huyện Phù Cát,Thị trấn Ngô Mây,"Đường Ngô Mây, Thị trấn Ngô Mây, Huyện Phù Cát, Bình Định",870 triệu,10/05/2021,169m²,,,,,Đã có sổ,Đăng nhập để xem,
460,Đất,Cần bán,Bình Định,Thị xã An Nhơn,Xã Nhơn Lộc,"639B, Xã Nhơn Lộc, Thị xã An Nhơn, Bình Định","1,55 tỷ",10/05/2021,210m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
461,Nhà,Cần bán,Vĩnh Long,Thành phố Vĩnh Long,Phường 8,"Chợ Vượt Lũ, Phường 8, Thành phố Vĩnh Long, Vĩnh Long","3,1 tỷ",10/05/2021,120m²,Đông Nam,,6,4,Đã có sổ,Đăng nhập để xem,
462,Nhà,Cần bán,Hà Nội,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","3,7 tỷ",10/05/2021,38m²,,,5,3,Đã có sổ,Đăng nhập để xem,
463,Nhà,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Lợi,"Đường Y Moan, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","2,35 tỷ",10/05/2021,92m²,,,1,1,Đã có sổ,Đăng nhập để xem,
464,Đất,Cần bán,Lào Cai,Thị xã Sa Pa,Phường Phan Si Păng,"Đường Điện Biên Phủ, Phường Phan Si Păng, Thị xã Sa Pa, Lào Cai",3 tỷ,10/05/2021,240m²,,,,,Đã có sổ,Đăng nhập để xem,
465,Nhà,Cho thuê,Sóc Trăng,Thành phố Sóc Trăng,Phường 7,"Đường Nam Kỳ Khởi Nghĩa, Phường 7, Thành phố Sóc Trăng, Sóc Trăng",3 triệu/tháng,10/05/2021,300m²,Đông,,2,1,Đã có sổ,Đăng nhập để xem,
466,"Căn hộ, Chung cư",Cần bán,Bình Dương,Thành phố Thuận An,Phường Lái Thiêu,"Đường Nguyễn Văn Tiết, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương","1,85 tỷ",10/05/2021,65m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
467,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Đông Hưng Thuận,"dht 08, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh","5,5 tỷ",10/05/2021,75m²,Đông,,6,4,Đã có sổ,Đăng nhập để xem,
468,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 13,"Đường Văn Chung, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","17,99 tỷ",10/05/2021,150m²,,2,4,4,Đã có sổ,Đăng nhập để xem,
469,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,"20, Khu Pho 10, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","1,04 tỷ",10/05/2021,50m²,Nam,,2,1,,Đăng nhập để xem,
470,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,"15, 15 Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,28 tỷ",10/05/2021,79m²,Đông Nam,,2,2,Giấy tờ khác,Đăng nhập để xem,
471,Đất,Cần bán,Bình Dương,Thị xã Dĩ An,Phường Tân Đông Hiệp,"Đường Trần Nguyên Hãn, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",350 triệu,10/05/2021,1.200m²,,,,,Đã có sổ,Đăng nhập để xem,
472,Nhà,Cần bán,Hồ Chí Minh,Quận 8,Phường 3,"Đường Âu Dương Lân, Phường 3, Quận 8, Tp Hồ Chí Minh","6,8 triệu",10/05/2021,212m²,Đông,,6,,Đã có sổ,Đăng nhập để xem,
473,Đất,Cần bán,Bình Phước,Huyện Chơn Thành,Xã Minh Hưng,"Đường 14, Xã Minh Hưng, Huyện Chơn Thành, Bình Phước",300 triệu,10/05/2021,233m²,,,,,,Đăng nhập để xem,
474,Đất,Cần bán,Long An,Huyện Cần Giuộc,Xã Mỹ Lộc,"Đoàn Văn Diệu, Xã Mỹ Lộc, Huyện Cần Giuộc, Long An","1,35 tỷ",10/05/2021,300m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
475,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 3,"Đường Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh","8,6 tỷ",10/05/2021,71m²,,,3,,Đã có sổ,Đăng nhập để xem,
476,Nhà,Cần bán,Long An,Huyện Bến Lức,Thị trấn Bến Lức,"Đường Nguyễn Văn Tuôi, Thị trấn Bến Lức, Huyện Bến Lức, Long An","2,95 tỷ",10/05/2021,75m²,Bắc,2,3,4,Đang chờ sổ,Đăng nhập để xem,
477,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường Cát Lái,"Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh","1,279 tỷ",10/05/2021,59m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
478,Nhà,Cho thuê,Bình Dương,Thành phố Thuận An,Phường An Phú,"Đường D4, Phường An Phú, Thành phố Thuận An, Bình Dương","5,5 triệu/tháng",10/05/2021,100m²,,2,3,2,Giấy tờ khác,Đăng nhập để xem,
479,Nhà,Cần bán,Hà Nội,Quận Đống Đa,Phường Trung Liệt,"Đường Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội","4,5 tỷ",10/05/2021,35m²,,5,6,6,Đã có sổ,Đăng nhập để xem,
480,Nhà,Cần bán,Hà Nội,Quận Hai Bà Trưng,Phường Quỳnh Mai,"Phố 8-3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội","1,8 tỷ",10/05/2021,70m²,,1,2,2,Đã có sổ,Đăng nhập để xem,
481,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 13,"Đường Đồng Xoài, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","4,4 triệu/tháng",10/05/2021,25m²,,,1,,,Đăng nhập để xem,
482,Đất,Cần bán,Bà Rịa - Vũng Tàu,Huyện Châu Đức,Xã Đá Bạc,"TL765, Xã Đá Bạc, Huyện Châu Đức, Bà Rịa - Vũng Tàu","2,16 tỷ",10/05/2021,678m²,,,,,,Đăng nhập để xem,
483,Nhà,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phú,"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","3,85 tỷ",10/05/2021,48m²,Đông Bắc,2,3,2,Đã có sổ,Đăng nhập để xem,
484,Nhà,Cho thuê,Hồ Chí Minh,Huyện Hóc Môn,Xã Đông Thạnh,"205/73/21 ấp 5, Ngã Tư Đông Thạnh 4, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh",6 triệu/tháng,10/05/2021,200m²,Đông Bắc,1,2,2,Đã có sổ,Đăng nhập để xem,
485,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Phú Hữu,"Đường Nguyễn Duy Trinh, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh","1,42 tỷ",10/05/2021,42m²,,,2,2,Đã có sổ,Đăng nhập để xem,
486,Nhà,Cần bán,Bình Thuận,Huyện Hàm Tân,Xã Sông Phan,"Đường Quốc Lộ 1, Xã Sông Phan, Huyện Hàm Tân, Bình Thuận","2,2 triệu",10/05/2021,1.150m²,,,3,,Đã có sổ,Đăng nhập để xem,
487,Đất,Cần bán,Bình Thuận,Huyện Hàm Tân,Xã Tân Phúc,"ql55, Xã Tân Phúc, Huyện Hàm Tân, Bình Thuận","1,8 tỷ",10/05/2021,14.000m²,,,,,,Đăng nhập để xem,
488,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,"Đường Lê Thúc Hoạch, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","5,8 tỷ",10/05/2021,52m²,,4,4,5,Đã có sổ,Đăng nhập để xem,
489,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 4,Phường 3,"khánh hội, Phường 3, Quận 4, Tp Hồ Chí Minh","6,5 triệu/tháng",10/05/2021,35m²,,,1,1,,Đăng nhập để xem,
490,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Xuân,"Đường Quốc lộ 1A, Phường Linh Xuân, Quận Thủ Đức, Tp Hồ Chí Minh","4,3 tỷ",10/05/2021,100m²,,,,,,Đăng nhập để xem,
491,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 4,"Trường Sơn, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",8 triệu/tháng,10/05/2021,30m²,,,1,,,Đăng nhập để xem,
492,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,"Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","6,9 tỷ",10/05/2021,166m²,Đông Bắc,2,4,3,Đã có sổ,Đăng nhập để xem,
493,Nhà,Cần bán,Đà Nẵng,Quận Thanh Khê,Phường Hòa Khê,"Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","2,55 tỷ",10/05/2021,51m²,Tây Nam,2,3,2,Đã có sổ,Đăng nhập để xem,
494,Nhà,Cần bán,Hà Nội,Quận Ba Đình,Phường Đội Cấn,"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","2,45 tỷ",10/05/2021,20m²,Đông,6,3,2,Đã có sổ,Đăng nhập để xem,
495,Nhà,Cần bán,Hồ Chí Minh,Quận 10,Phường 13,"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Tp Hồ Chí Minh","5,2 tỷ",10/05/2021,29m²,,3,3,5,Đã có sổ,Đăng nhập để xem,
496,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Long Bình,"Đường 15, Phường Long Bình, Quận 9, Tp Hồ Chí Minh","12,8 tỷ",10/05/2021,6.800m²,,,,,Đang chờ sổ,Đăng nhập để xem,
497,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 1,"Đường Đinh Tiên Hoàng, Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh",15 triệu/tháng,10/05/2021,45m²,,,4,3,,Đăng nhập để xem,
498,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 13,"Bình Giã, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","4,8 triệu/tháng",10/05/2021,20m²,,,1,,,Đăng nhập để xem,
499,"Căn hộ, Chung cư",Cho thuê,Đà Nẵng,Quận Sơn Trà,Phường An Hải Bắc,"Phạm Văn Đồng, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng","3,9 triệu/tháng",10/05/2021,35m²,Bắc,,1,1,Giấy tờ khác,Đăng nhập để xem,
